ID,Title,Description,Launch Date,Developer,Publisher,Price,Discount %,Original Price,Discounted Price,Recent Reviews,Recent Positive %,Recent Review Summary,Total Reviews,Total Positive %,Total Review Summary,Rating Value,Best Rating,Worst Rating,Tags,URL
594650,Hunt: Showdown,"Hunt: Showdown is a high-stakes, tactical PvPvE first-person shooter. Hunt for bounties in the infested Bayou, kill nightmarish monsters and outwit competing hunters - alone or in a group - with your glory, gear, and gold on the line.","27 Aug, 2019",Crytek,Crytek,"39,99€",,,,"2,309",76%,Mostly Positive,140210,82%,Very Positive,9,10,1,Open World;Extraction Shooter;Tactical;Atmospheric;Multiplayer;FPS;Perma Death;Shooter;PvP;Survival Horror;Horror;Western;Online Co-Op;Difficult;Co-op;Battle Royale;Team-Based;Action;Gore;Zombies,https://store.steampowered.com/app/594650/Hunt_Showdown/?snr=1_7_7_7000_150_2
1172620,Sea of Thieves 2023 Edition,"Celebrate five years since Sea of Thieves' launch with this special edition, including a copy of the game with all permanent content added since launch, plus a 10,000 gold bonus and a selection of Hunter cosmetics: the Hunter Cutlass, Pistol, Compass, Hat, Jacket and Sails.","3 Jun, 2020",Rare Ltd,Xbox Game Studios,"9,99€",,,,"3,251",85%,Very Positive,260510,90%,Very Positive,9,10,1,Multiplayer;Adventure;Open World;Pirates;Co-op;Online Co-Op;Action;PvP;Sailing;First-Person;Exploration;Naval;Funny;PvE;Massively Multiplayer;Atmospheric;FPS;Swordplay;Great Soundtrack;Singleplayer,https://store.steampowered.com/app/1172620/Sea_of_Thieves_2023_Edition/?snr=1_7_7_7000_150_2
1937780,Total War: PHARAOH,"In Total War: PHARAOH, the newest entry in the award-winning grand strategy series, immerse yourself in ancient Egypt at the zenith of its power and experience the dramatic events that threaten its destruction.","11 Oct, 2023",CREATIVE ASSEMBLY,SEGA,"59,99€",,,,"1,603",56%,Mixed,1604,56%,Mixed,6,10,1,Strategy;Action;RTS;Grand Strategy;Tactical;Atmospheric;War;Multiplayer;PvP;Singleplayer;Turn-Based Strategy;4X;Rome;Historical,https://store.steampowered.com/app/1937780/Total_War_PHARAOH/?snr=1_7_7_7000_150_2
1716740,Starfield,"Starfield is the first new universe in 25 years from Bethesda Game Studios, the award-winning creators of The Elder Scrolls V: Skyrim and Fallout 4.","5 Sep, 2023",Bethesda Game Studios,Bethesda Softworks,"69,99€",,,,"7,846",50%,Mixed,74213,70%,Mostly Positive,7,10,1,Space;Singleplayer;Open World;RPG;Sci-fi;Exploration;Story Rich;First-Person;Action-Adventure;Character Customization;Third Person;Adventure;Action RPG;Space Sim;Atmospheric;Action;Moddable;Cinematic;Realistic;Great Soundtrack,https://store.steampowered.com/app/1716740/Starfield/?snr=1_7_7_7000_150_2
298110,Far Cry® 4,"Hidden in the towering Himalayas lies Kyrat, a country steeped in tradition and violence. You are Ajay Ghale. Traveling to Kyrat to fulfill your mother’s dying wish, you find yourself caught up in a civil war to overthrow the oppressive regime of dictator Pagan Min.","18 Nov, 2014","Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,,-80%,"29,99€","5,99€",329,86%,Very Positive,44881,83%,Very Positive,9,10,1,Open World;Action;FPS;Co-op;Adventure;Shooter;Multiplayer;First-Person;Singleplayer;Hunting;Stealth;Atmospheric;Survival;Online Co-Op;Story Rich;Exploration;Crafting;Sandbox;RPG;Action RPG,https://store.steampowered.com/app/298110/Far_Cry_4/?snr=1_7_7_7000_150_2
284160,BeamNG.drive,A dynamic soft-body physics vehicle simulator capable of doing just about anything.,"29 May, 2015",BeamNG,BeamNG,"20,99€",,,,"4,574",97%,Overwhelmingly Positive,189301,97%,Overwhelmingly Positive,10,10,1,Simulation;Driving;Physics;Destruction;Realistic;Automobile Sim;Open World;Sandbox;Racing;Moddable;Singleplayer;Multiplayer;Early Access;First-Person;Third Person;Exploration;Funny;Action;Adventure;Flight,https://store.steampowered.com/app/284160/BeamNGdrive/?snr=1_7_7_7000_150_2
905370,Conqueror's Blade,"Master the art of siege tactics in Conqueror's Blade, a tactical action MMO brought to you by MY.GAMES and Booming Tech. Create your hero, command medieval units, and ride out for epic online battles in a vast new world. Play for free today!","30 May, 2019",Booming Tech,MY.GAMES,,,,"49,98€",307,60%,Mixed,28370,75%,Mostly Positive,7,10,1,Medieval;Tactical;Strategy;Action;Free to Play;Multiplayer;Massively Multiplayer;War;Singleplayer;Grand Strategy;Strategy RPG;Online Co-Op;Swordplay;Character Customization;PvP;Wargame;RTS;Action RTS;Tactical RPG;Real Time Tactics,https://store.steampowered.com/app/905370/Conquerors_Blade/?snr=1_7_7_7000_150_2
761890,Albion Online,"Albion Online is a fantasy sandbox MMORPG featuring a player-driven economy, classless combat system, and intense PvP battles. Explore a vast open world full of danger and opportunity. Grow your wealth, forge alliances, and leave your mark on the world of Albion.","17 Jul, 2017",Sandbox Interactive GmbH,Sandbox Interactive GmbH,,,,,"1,102",76%,Mostly Positive,65473,79%,Mostly Positive,7,10,1,Free to Play;MMORPG;Open World;Massively Multiplayer;Sandbox;RPG;Crafting;Multiplayer;PvP;Survival;Loot;PvE;Economy;Medieval;Co-op;Fantasy;Strategy;Action;Singleplayer;Difficult,https://store.steampowered.com/app/761890/Albion_Online/?snr=1_7_7_7000_150_3
1517290,Battlefield™ 2042,Master the unknown in Season 6: Dark Creations. Battlefield™ 2042 is a first-person shooter that marks the return to the iconic all-out warfare of the franchise.,"19 Nov, 2021",DICE,Electronic Arts,"59,99€",,,,"18,780",56%,Mixed,173741,42%,Mixed,6,10,1,FPS;Shooter;Military;Multiplayer;War;Action;First-Person;Combat;Team-Based;PvP;Futuristic;Vehicular Combat;Modern;Singleplayer;Destruction;Physics;Cinematic;Adventure;Hero Shooter;Casual,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_7000_150_3
731040,The Invincible,"Rethink human’s dominion in The Invincible: a story-driven adventure set in a hard sci-fi world by Stanisław Lem. Discover planet Regis III as scientist Yasna, use atompunk tools looking for a missing crew and face unforeseen threats. Make choices in a philosophical story that’s driven by science.","6 Nov, 2023",Starward Industries,11 bit studios,"29,99€",,,,,,,482,91%,Very Positive,9,10,1,Adventure;Robots;Singleplayer;Futuristic;Sci-fi;Space;Female Protagonist;Science;Exploration;Story Rich;Action;Choices Matter;Interactive Fiction;Nonlinear;Thriller;Aliens;First-Person;Realistic;3D;Narration,https://store.steampowered.com/app/731040/The_Invincible/?snr=1_7_7_7000_150_3
